_id,OBJECTID,GEO_ID,NAME,SCHOOL_LEVEL,SCHOOL_TYPE,BOARD_NAME,SOURCE_ADDRESS,SCHOOL_TYPE_DESC,ADDRESS_POINT_ID,ADDRESS_NUMBER,LINEAR_NAME_FULL,ADDRESS_FULL,POSTAL_CODE,MUNICIPALITY,CITY,PLACE_NAME,GENERAL_USE_CODE,CENTRELINE_ID,LO_NUM,LO_NUM_SUF,HI_NUM,HI_NUM_SUF,LINEAR_NAME_ID,X,Y,LATITUDE,LONGITUDE,geometry
23309,303,9963196,DUNLACE PUBLIC SCHOOL,,EP,Toronto District School Board,20 DUNLACE DR,English Public,9963196,20,Dunlace Dr,20 Dunlace Dr,M2L 2S1,North York,Toronto,Dunlace Public School,102001,30058051,20,,,,5459,315238.497,4846952.681,43.762459426999996,-79.370357324,"{u'type': u'Point', u'coordinates': (-79.3703573292, 43.762459425)}"
23310,304,6624483,EARL BEATTY JUNIOR & SENIOR PUBLIC SCHOOL,,EP,Toronto District School Board,55 WOODINGTON AVE,English Public,6624483,55,Woodington Ave,55 Woodington Ave,M4C 3J6,former Toronto,Toronto,Earl Beatty Public School,102001,6624492,55,,,,395,319203.085,4838473.31,43.686068457,-79.321345627,"{u'type': u'Point', u'coordinates': (-79.3213456307, 43.6860684584)}"
23311,305,6355066,EARL GREY SENIOR PUBLIC SCHOOL,,EP,Toronto District School Board,100 STRATHCONA AVE,English Public,6355066,100,Strathcona Ave,100 Strathcona Ave,M4J 1G8,former Toronto,Toronto,Earl Grey Senior Public School,102001,14022315,100,,,,4496,317658.864,4837445.355,43.67684388,-79.34052441600001,"{u'type': u'Point', u'coordinates': (-79.3405244209, 43.676843882)}"
23312,306,799259,EARL HAIG PUBLIC SCHOOL,,EP,Toronto District School Board,15 EARL HAIG AVE,English Public,799259,15,Earl Haig Ave,15 Earl Haig Ave,M4C 1E2,former Toronto,Toronto,Earl Haig Junior Public School,102001,1140005,15,,,,3349,319211.891,4837947.069,43.681340039700004,-79.3212536875,"{u'type': u'Point', u'coordinates': (-79.3212504675, 43.6813314531)}"
23313,307,3310442,EARL HAIG SECONDARY SCHOOL,,EP,Toronto District School Board,100 PRINCESS AVE,English Public,3310442,100,Princess Ave,100 Princess Ave,M2N 3R7,North York,Toronto,Earl Haig Secondary School,102002,3310436,100,,,,6470,312370.48,4847743.106000001,43.769609033,-79.405965953,"{u'type': u'Point', u'coordinates': (-79.4059659484, 43.7696090328)}"
23314,308,572032,EARLY YEARS EDUCATION SYSTEM,,PR,,3000 VICTORIA PARK AVE,Private,572032,3000,Victoria Park Ave,3000 Victoria Park Ave,M2J 4Y2,North York,Toronto,,100002,106049,3000,,,,370,318316.359,4850275.432,43.7923267755,-79.3320509885,"{u'type': u'Point', u'coordinates': (-79.3320477548, 43.79231817)}"
23315,309,774626,EAST ALTERNATIVE SCHOOL OF TORONTO,,EP,Toronto District School Board,21 BOULTBEE AVE,English Public,774626,21,Boultbee Ave,21 Boultbee Ave,M4J 1A7,former Toronto,Toronto,Blake Street Public School,102001,1141613,21,,,,3038,317825.102,4836886.033,43.6718149548,-79.3384794702,"{u'type': u'Point', u'coordinates': (-79.3384762501, 43.671806369)}"
23316,310,7846533,EAST YORK ALTERNATIVE SECONDARY SCHOOL,,EP,Toronto District School Board,670 COSBURN AVE,English Public,7846533,670,Cosburn Ave,670 Cosburn Ave,M4C 2V2,East York,Toronto,Alternative High School Programme,102002,7846484,670,,,,70,318882.548,4839463.922,43.694999943,-79.3252988606,"{u'type': u'Point', u'coordinates': (-79.3252956395, 43.6949913553)}"
23317,311,7794431,EAST YORK COLLEGIATE INSTITUTE,,EP,Toronto District School Board,650 COSBURN AVE,English Public,7794431,650,Cosburn Ave,650 Cosburn Ave,M4C 2V2,East York,Toronto,East York Collegiate Institute,102002,7794416,650,,,,70,318698.697,4839463.455,43.694990612,-79.327576445,"{u'type': u'Point', u'coordinates': (-79.3275764481, 43.6949906149)}"
23318,312,808480,EASTDALE COLLEGIATE INSTITUTE,,EP,Toronto District School Board,701 GERRARD ST E,English Public,808480,701,Gerrard St E,701 Gerrard St E,M4M 1Y4,former Toronto,Toronto,Eastdale Collegiate Institute,102002,1142671,701,,,,3495,316992.27,4836231.2469999995,43.6659351531,-79.3488221413,"{u'type': u'Point', u'coordinates': (-79.3488189225, 43.6659265702)}"
